,mota,idf1,num_switches,num_false_positives,num_misses,num_objects,mostly_tracked,mostly_lost,num_fragmentations,precision,recall
103,-0.14835164835164827,0.009478672985781991,0,28,181,182,0,11,0,0.034482758620689655,0.005494505494505495
114,-0.043010752688172005,0.22556390977443608,6,19,72,93,1,6,4,0.525,0.22580645161290322
131,-0.03846153846153855,0.01818181818181818,0,5,103,104,0,7,0,0.16666666666666666,0.009615384615384616
142,0.1925820256776034,0.3381851966553112,103,309,1286,2103,11,32,99,0.7255772646536413,0.38849262957679503
146,-0.37916666666666665,0.040229885057471264,3,98,230,240,0,12,1,0.09259259259259259,0.041666666666666664
150,0.00497512437810943,0.009900990099009901,0,0,200,201,0,10,0,1.0,0.004975124378109453
181,-0.0888888888888888,0.13114754098360656,4,8,37,45,0,3,2,0.5,0.17777777777777778
183,-0.19130434782608696,0.050955414012738856,8,28,101,115,0,5,4,0.3333333333333333,0.12173913043478261
186,-0.10294117647058831,0.0,0,7,68,68,0,6,0,0.0,0.0
188,0.26712328767123283,0.3560606060606061,21,29,57,146,1,1,18,0.7542372881355932,0.6095890410958904
189,0.34615384615384615,0.43956043956043955,30,27,79,208,8,5,6,0.8269230769230769,0.6201923076923077
193,0.3601895734597157,0.4318181818181818,9,28,98,211,6,3,8,0.8014184397163121,0.5355450236966824
199,-0.19827586206896552,0.014184397163120567,0,24,115,116,0,9,0,0.04,0.008620689655172414
20,-0.16867469879518082,0.01020408163265306,0,29,165,166,0,10,0,0.03333333333333333,0.006024096385542169
204,-0.14782608695652177,0.09210526315789473,6,24,102,115,0,12,4,0.35135135135135137,0.11304347826086956
206,-0.06000000000000005,0.14652014652014653,7,39,166,200,0,19,5,0.4657534246575342,0.17
212,0.38888888888888884,0.45161290322580644,2,8,23,54,2,2,0,0.7948717948717948,0.5740740740740741
22,-0.10000000000000009,0.0,0,19,190,190,0,13,0,0.0,0.0
261,0.0,0.0,0,0,27,27,0,6,0,,0.0
262,-0.00952380952380949,0.0,0,1,105,105,0,12,0,0.0,0.0
265,0.0,0.0,0,0,23,23,0,3,0,,0.0
297,0.0,0.0,0,0,32,32,0,3,0,,0.0
302,0.0,0.0,0,0,97,97,0,9,0,,0.0
34,-0.38745387453874547,0.1590909090909091,24,169,183,271,0,4,22,0.3424124513618677,0.3247232472324723
344,0.0,0.0,0,0,20,20,0,4,0,,0.0
372,0.45833333333333337,0.6153846153846154,0,2,11,24,4,3,0,0.8666666666666667,0.5416666666666666
374,0.1071428571428571,0.5098039215686274,0,10,15,28,2,3,2,0.5652173913043478,0.4642857142857143
376,0.05555555555555558,0.39436619718309857,1,16,17,36,4,2,0,0.5428571428571428,0.5277777777777778
45,-0.27142857142857135,0.1724137931034483,5,30,54,70,0,5,4,0.34782608695652173,0.22857142857142856
59,0.0,0.0,0,0,13,13,0,1,0,,0.0
71,-0.1417004048582995,0.05732484076433121,14,44,224,247,0,12,9,0.34328358208955223,0.0931174089068826
72,-0.12539184952978055,0.07035175879396985,9,55,295,319,0,17,6,0.3037974683544304,0.07523510971786834
92,-0.12408759124087587,0.0,0,17,137,137,0,14,0,0.0,0.0
98,-0.6666666666666667,0.0,0,32,48,48,0,1,0,0.0,0.0
99,-0.1934156378600822,0.05806451612903226,4,55,231,243,0,12,2,0.1791044776119403,0.04938271604938271
OVERALL,0.012069239320311231,0.2134316683428316,256,1160,4805,6297,39,277,196,0.5625942684766214,0.23693822455137367
